Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;Total Docs. (2024);Estimated APC (USD);Estimated value (USD)
1;28973;"Journal of Econometrics";journal;"03044076, 18726895";No;No;"Elsevier B.V.";12,168;Q1;265;4750;4745426;
2;24527;"Acta Mathematica";journal;"00015962";No;No;"Springer Netherlands";9,069;Q1;8;4527;208261;
3;24721;"Annals of Mathematics";journal;"0003486X";No;No;"Department of Mathematics at Princeton University";8,627;Q1;41;4821;829176;
4;24668;"Journal of the American Mathematical Society";journal;"10886834, 08940347";No;No;"American Mathematical Society";7,033;Q1;21;4722;519368;
5;11700154368;"Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques";journal;"16181913, 00738301";No;No;"Springer Verlag";6,783;Q1;9;4731;179793;
6;24535;"Acta Numerica";journal;"14740508, 09624929";No;No;"Cambridge University Press";6,610;Q1;6;4605;147357;
7;23262;"Inventiones Mathematicae";journal;"00209910, 14321297";No;No;"Springer New York";6,183;Q1;77;4493;1648845;
8;21100886132;"Science Robotics";journal;"24709476";No;No;"American Association for the Advancement of Science";5,940;Q1;134;4667;2449919;
9;23038;"ACM Computing Surveys";journal;"03600300, 15577341";No;No;"Association for Computing Machinery (ACM)";5,797;Q1;424;4436;5620050;
10;21101081601;"PRX Quantum";journal;"26913399";Yes;No;"American Physical Society";5,341;Q1;242;4463;2905678;
11;4700152228;"Molecular Systems Biology";journal;"17444292";Yes;No;"Springer Science and Business Media Deutschland GmbH";4,783;Q1;73;4671;1709414;
12;13649;"Annals of Statistics";journal;"00905364";No;No;"Institute of Mathematical Statistics";4,769;Q1;123;4560;3032703;
13;21100200203;"Wiley Interdisciplinary Reviews: Computational Molecular Science";journal;"17590876, 17590884";No;No;"John Wiley &amp; Sons Inc.";4,501;Q1;43;4334;1096414;
14;18933;"IEEE Transactions on Wireless Communications";journal;"15361276, 15582248";No;No;"Institute of Electrical and Electronics Engineers Inc.";4,454;Q1;1392;4373;17433899;
15;27162;"Journal of Business and Economic Statistics";journal;"07350015, 15372707";No;No;"Taylor and Francis Ltd.";4,171;Q1;147;4446;2423189;
16;21100887442;"Forum of Mathematics, Pi";journal;"20505086";Yes;No;"Cambridge University Press";4,116;Q1;26;4113;444223;
17;12094;"Journal of the American Statistical Association";journal;"01621459, 1537274X";No;No;"Taylor and Francis Ltd.";4,103;Q1;344;4330;4637690;
18;21100863648;"Foundations and Trends in Systems and Control";journal;"23256826, 23256818";No;No;"Now Publishers Inc";4,006;Q1;3;4277;47047;
19;89440;"Genomics, Proteomics and Bioinformatics";journal;"16720229, 22103244";Yes;No;"Beijing Genomics Institute";3,964;Q1;88;4105;1724099;
20;21101208862;"Cambridge Journal of Mathematics";journal;"21680949, 21680930";No;No;"International Press, Inc.";3,940;Q1;13;4287;55730;
21;25936;"Duke Mathematical Journal";journal;"15477398, 00127094";No;No;"Duke University Press";3,913;Q1;60;4200;1600218;
